Filename,GPU Throughput (MPixels/s)
run_1.log,1034.37
run_2.log,939.71
run_3.log,998.08
run_4.log,1069.12
run_5.log,923.71
run_6.log,1032.42
run_7.log,925.04
run_8.log,915.17
run_9.log,953.37
run_10.log,916.66
run_11.log,897.61
run_12.log,859.87
run_13.log,916.35
run_14.log,904.55
run_15.log,905.44
run_16.log,921.35
run_17.log,1026.71
run_18.log,860.31
run_19.log,910.53
run_20.log,978.65
run_21.log,1035.59
run_22.log,899.65
run_23.log,899.78
run_24.log,908.81
run_25.log,918.79
,
--- STATISTICS (Excluding Min/Max) ---,
Average,940.1152
Standard Deviation,51.2755
Note,(Removed min: 859.87 and max: 1069.12)
