Filename,GPU Throughput (MPixels/s)
run_1.log,1067.98
run_2.log,1232.61
run_3.log,1199.9
run_4.log,1160.76
run_5.log,1233.54
run_6.log,1225.68
run_7.log,1363.25
run_8.log,1373.06
run_9.log,1212.86
run_10.log,1241.89
run_11.log,1085.72
run_12.log,1339.66
run_13.log,1210.07
run_14.log,1225.52
run_15.log,1091.25
run_16.log,1208.27
run_17.log,1238.31
run_18.log,1216.6
run_19.log,1207.17
run_20.log,1115.86
run_21.log,1215.77
run_22.log,1234.99
run_23.log,1211.89
run_24.log,1242.06
run_25.log,1221.68
,
--- STATISTICS (Excluding Min/Max) ---,
Average,1214.5787
Standard Deviation,62.5264
Note,(Removed min: 1067.98 and max: 1373.06)
