Filename,GPU Throughput (MPixels/s)
run_1.log,662.49
run_2.log,753.53
run_3.log,724.25
run_4.log,722.87
run_5.log,723.81
run_6.log,722.36
run_7.log,726.23
run_8.log,729.99
run_9.log,715.24
run_10.log,731.15
run_11.log,720.1
run_12.log,667.46
run_13.log,734.51
run_14.log,717.97
run_15.log,725.38
run_16.log,716.57
run_17.log,724.17
run_18.log,716.35
run_19.log,748.88
run_20.log,720.25
run_21.log,729.54
run_22.log,718.57
run_23.log,743.62
run_24.log,716.02
run_25.log,731.55
,
--- STATISTICS (Excluding Min/Max) ---,
Average,722.9061
Standard Deviation,14.7996
Note,(Removed min: 662.49 and max: 753.53)
