Filename,GPU Throughput (MPixels/s)
run_1.log,849.35
run_2.log,865.98
run_3.log,852.51
run_4.log,871.7
run_5.log,854.85
run_6.log,784.01
run_7.log,866.13
run_8.log,870.72
run_9.log,864.35
run_10.log,871.5
run_11.log,864.72
run_12.log,863.79
run_13.log,811.39
run_14.log,865.92
run_15.log,812.8
run_16.log,865.84
run_17.log,853.14
run_18.log,867.9
run_19.log,867.51
run_20.log,854.96
run_21.log,809.68
run_22.log,863.69
run_23.log,845.66
run_24.log,870.51
run_25.log,850.26
,
--- STATISTICS (Excluding Min/Max) ---,
Average,854.9200
Standard Deviation,18.8130
Note,(Removed min: 784.01 and max: 871.7)
