Filename,GPU Throughput (MPixels/s)
run_1.log,823.74
run_2.log,803.41
run_3.log,848.23
run_4.log,810.46
run_5.log,873.19
run_6.log,894.37
run_7.log,902.4
run_8.log,898.45
run_9.log,905.4
run_10.log,920.74
run_11.log,923.04
run_12.log,910.85
run_13.log,922.08
run_14.log,920.15
run_15.log,918.18
run_16.log,907.51
run_17.log,920.96
run_18.log,854.45
run_19.log,922.97
run_20.log,925.65
run_21.log,904.34
run_22.log,925.75
run_23.log,906.65
run_24.log,922.58
run_25.log,907.33
,
--- STATISTICS (Excluding Min/Max) ---,
Average,897.5530
Standard Deviation,32.9246
Note,(Removed min: 803.41 and max: 925.75)
