Filename,GPU Throughput (MPixels/s)
run_1.log,1357.2
run_2.log,1364.82
run_3.log,1364.0
run_4.log,1376.53
run_5.log,1357.16
run_6.log,1362.04
run_7.log,1160.19
run_8.log,1342.59
run_9.log,1359.72
run_10.log,1369.35
run_11.log,1351.13
run_12.log,1357.12
run_13.log,1357.65
run_14.log,1319.53
run_15.log,1303.36
run_16.log,1060.36
run_17.log,1350.45
run_18.log,1359.11
run_19.log,1354.18
run_20.log,1349.05
run_21.log,1353.27
run_22.log,1171.92
run_23.log,1344.66
run_24.log,1322.08
run_25.log,1347.31
,
--- STATISTICS (Excluding Min/Max) ---,
Average,1333.8213
Standard Deviation,55.2059
Note,(Removed min: 1060.36 and max: 1376.53)
