Filename,CPU GInt/s,GPU GInt/s,Note
run_1.log,10.41,,
run_2.log,10.6,,
run_3.log,10.531,,
run_4.log,10.715,,
run_5.log,10.632,,
run_6.log,10.721,,
run_7.log,10.662,,
run_8.log,10.633,,
run_9.log,10.725,,
run_10.log,10.777,,
run_11.log,10.675,,
run_12.log,10.613,,
run_13.log,10.698,,
run_14.log,10.686,,
run_15.log,10.595,,
run_16.log,10.684,,
run_17.log,10.704,,
run_18.log,10.431,,
run_19.log,10.568,,
run_20.log,10.688,,
run_21.log,10.683,,
run_22.log,10.658,,
run_23.log,10.656,,
run_24.log,10.628,,
run_25.log,10.693,,
,,,
--- STATISTICS ---,,,
CPU Average,10.6469,,"(n=25, removed min/max)"
CPU Std Dev,0.0689,,
GPU Average,,0.0000,No data
GPU Std Dev,,0.0000,
